id,number,acceptdate,sum,descriptionRu,customer_name,provider_name,customer_bin,provider_bin
1943,21,19.01.2016 18:07,38000,"Ғимараттарды залалсыздандыру, бұқырлау қызметі",КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ «КРУГЛООЗЕРНОВСКИЙ ЦЕНТР ОКАЗАНИЯ СПЕЦИАЛЬНЫХ СОЦИАЛЬНЫХ УСЛУГ УПРАВЛЕНИЯ КООРДИНАЦИИ ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ»,"ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «НАЦИОНАЛЬНЫЙ ЦЕНТР ЭКСПЕРТИЗЫ» КОМИТЕТА КОНТРОЛЯ КАЧЕСТВА И БЕЗОПАСНОСТИ ТОВАРОВ И УСЛУГ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН ""ЦЕНТР ДЕЗИНФЕКЦИИ ПО ЗАПАДНО-",981240001218,150741017857
1944,3,23.01.2016 12:48,150893,услуги связи,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""РУДНЕНСКАЯ ЦЕНТРАЛИЗОВАННАЯ БИБЛИОТЕЧНАЯ СИСТЕМА""","КОСТАНАЙСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",020340002971,970741000566
1945,3,19.01.2016 19:20,200000,за услуги  обучение и сооправождение электронных госзакупок ,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ ПАРК"" ОТДЕЛА ОБРАЗОВАНИЯ ШАРДАРИНСКОГО РАЙОНА","ИП ""Степанов А.А.""",111040008882,880622300063
1946,1,20.01.2016 11:39,200000,Приобретение картонных коробок,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЖЕТЫСАЙСКИЙ РЕГИОНАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ АРХИВ"" УПРАВЛЕНИЯ ЦИФРОВИЗАЦИИ, ОКАЗАНИЯ ГОСУДАРСТВЕННЫХ УСЛУГ И АРХИВОВ ТУРКЕСТАНСКОЙ ОБЛАСТИ""","ИП ""RB SNAB""",030740004835,830127302694
1947,1И ,22.01.2016 11:22,3623471,Қарағанды облысының ІІД үшін бензин және дизель отынын бір көзден сатып алу тәсілімен меммлекеттік сатып алу,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ «ДЕПАРТАМЕНТ ПОЛИЦИИ КАРАГАНДИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН»,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗОЙЛПРОМ""",940740000703,130640000641
1948,3,20.01.2016 16:57,892857,"""1С"" ппатформасында ""Конфигурация"" Бюджет"" бухгалтерлік бағдарламасын сүйемелдеу",РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ «ҚОҒАМДЫҚ КЕЛІСІМ» ПРИ ПРЕЗИДЕНТЕ РЕСПУБЛИКИ КАЗАХСТАН,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SEVEN HILLS OF KAZAKHSTAN""",140740007456,051140005243
1949,6,30.03.2016 18:09,210000,Услуги по доставке бутилированной воды питьевой,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""РЕЗЕРВ"" КОМИТЕТА ПО ГОСУДАРСТВЕННЫМ МАТЕРИАЛЬНЫМ РЕЗЕРВАМ МИНИСТЕРСТВА НАЦИОНАЛЬНОЙ ЭКОНОМИКИ РЕСПУБЛИКИ КАЗАХСТАН",ИП Батпенова Сауле Жумагуловна,990140003130,510428401236
1951,8/16,20.01.2016 17:05,60000,услуги по техническому обслуживанию пожарной сигнализации,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 15 ГОРОДА ПАВЛОДАРА""",LED ИНДУСТРИЯ,970440002122,820825451077
1952,10011,27.01.2016 10:18,182136,Қоқыныстарды ауладан шығару қызметі,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 15 ГОРОДА ПАВЛОДАРА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦМАШИН""",970440002122,981140002541
1953,001,20.01.2016 18:24,110000,ИТС (Информационно технологическое сопровождение),"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА КАРАСУСКОГО СЕЛЬСКОГО ОКРУГА САЙРАМСКОГО РАЙОНА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""GARANT CONSULTING LTD""",050140002957,130740007345
1954,014,20.01.2016 15:22,1950000,услуги телефонной связи и интернет,КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ «АЛТЫНСАРИНСКАЯ РАЙОННАЯ БОЛЬНИЦА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ,"КОСТАНАЙСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",961240001105,970741000566
1956,01,03.02.2016 17:25,36000,Незамерзающая жидкость для чистки стекол автомашин,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ СТАТИСТИКИ ТУРКЕСТАНСКОЙ ОБЛАСТИ КОМИТЕТА ПО СТАТИСТИКЕ МИНИСТЕРСТВА НАЦИОНАЛЬНОЙ ЭКОНОМИКИ РЕСПУБЛИКИ КАЗАХСТАН""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗ НУР-СЕРВИС""",980340000924,150240019156
1957,1,25.01.2016 11:26,20400,Приобретение аккумулятора,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНАЯ БОЛЬНИЦА"" КОММУНАЛЬНОГО ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АККУМУЛЯТОРНЫЙ МИР""",990240005923,070440011804
1960,2040409,04.02.2016 10:04,249107,Телефон байланысы қызметі және басқа да телекоммуникациялар қызметтері,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""МОЛОДЕЖНЫЙ РЕСУРСНЫЙ ЦЕНТР ОСАКАРОВСКОГО РАЙОНА"" АКИМАТА ОСАКАРОВСКОГО РАЙОНА","КАРАГАНДИНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",130340011834,970641000334
1961,5,03.02.2016 14:58,446429,Услуги по продаже почтовых марок,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ КОМИТЕТА ПО РЕГУЛИРОВАНИЮ ЕСТЕСТВЕННЫХ МОНОПОЛИЙ, ЗАЩИТЕ КОНКУРЕНЦИИ И ПРАВ ПОТРЕБИТЕЛЕЙ МИНИСТЕРСТВА НАЦИОНАЛЬНОЙ ЭКОНОМИКИ РЕСПУБЛИКИ КАЗАХСТАН ПО КАРАГАНДИНСКОЙ ОБЛАСТИ""","КАРАГАНДИНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗПОЧТА""",141040018815,991141005531
1962,№4 ,27.01.2016 17:25,70000,Курсы переподготовки государственных служащих в объеме  130 часов ,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА ВОЗВЫШЕНСКОГО СЕЛЬСКОГО ОКРУГА РАЙОНА ИМЕНИ ГАБИТА МУСРЕПОВА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""","РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ПЕРЕПОДГОТОВКИ И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ГОСУДАРСТВЕННЫХ СЛУЖАЩИХ ПО СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ"" АГЕНТСТВА РЕСПУБЛИКИ КАЗАХСТАН ПО ДЕЛАМ ГОСУДАРСТВЕННОЙ СЛУЖБЫ И ПРОТИВОДЕЙСТВИЮ КОРРУПЦИИ",030140003726,051240005792
1963,6,22.01.2016 11:37,10447,Поверка тахографа на автобусе,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЛАСТНОЙ ФУТБОЛЬНЫЙ КЛУБ ""АКТОБЕ""","ФИЛИАЛ ""МАШАТ"" В ГОРОДЕ АКТОБЕ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРЭКС И КОМПАНИЯ""",070640006449,010641006562
1965,2,21.01.2016 17:28,180000,"техническое обслуживание, настройка автоматической телефонной станции Alcatel Omni PCX Office","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФИНАНСОВ АКМОЛИНСКОЙ ОБЛАСТИ""",ИП КРИКОТИН,400140000026,621110350303
1966,11,29.01.2016 18:19,6428,Клей-карандаш 36 гр.,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ ГОРОДА ПАВЛОДАРА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛЕНОВЫЙ ЛИСТ""",041240000819,071140014622
1969,41624,,16217857,Затраты на оплату коммунальных услуг-за электроэнергию,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ОБРАЗОВАНИЯ АКИМАТА ДЕНИСОВСКОГО РАЙОНА""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОСТАНАЙСКИЙ ЭНЕРГОЦЕНТР""",970240001828,031040002945
1970,1-Э/16,20.01.2016 13:18,7500000,Электроэнергия ,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ОБЛАСТНОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКТЮБИНСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТОБЕЭНЕРГОСНАБ""",000840002541,040940005515
1971,7,22.01.2016 15:47,118302,Приобретение продуктов питания,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ """"РЕСПУБЛИКАНСКАЯ СПЕЦИАЛИЗИРОВАННАЯ ШКОЛА-ИНТЕРНАТ-КОЛЛЕЖД ОЛИМПИЙСКОГО РЕЗЕРВА В ГОРОДЕ РИДДЕР"" КОМИТЕТА ПО ДЕЛАМ СПОРТА И ФИЗИЧЕСКОЙ КУЛЬТУРЫ МИНИСТЕРСТВА КУЛЬТУРЫ И СПОРТА РЕСПУБЛИКИ КАЗАХСТАН""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""RITTER""",020940002854,091140018430
1972,5,20.01.2016 18:12,48000,"техническое обслуживание исправных и работоспособных установок пожарной сигнализации в помещении  ГУ ""Школа-гимназия №3 отдела образования акимата г Костаная"".  Осуществление плановых регламентных работ, устранение по возникающих неисправностей,оказание технической помощи ""Заказчику"" в вопросах касающихся эксплуатации. ","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ШКОЛА-ГИМНАЗИЯ №3 ОТДЕЛА ОБРАЗОВАНИЯ АКИМАТА ГОРОДА КОСТАНАЯ""","ИП ""АЛТЫН""",961240002301,590416401077
1974,5,20.01.2016 11:51,144000,дератизация и дезинфекция помещений,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЯСЛИ САД ""РОМАШКА"" АКИМАТА БУРАБАЙСКОГО РАЙОНА ПРИ ОТДЕЛЕ ОБРАЗОВАНИЯ БУРАБАЙСКОГО РАЙОНА","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЗИНФЕКЦИОННАЯ СТАНЦИЯ Г.ЩУЧИНСКА""",990340008703,020240002918
1975,1,25.01.2016 13:05,870000,"""Бюджет KZ"" программалық өнімді сүйемелдеу және техникалық қолдау бойынша қызметтері","РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ УГОЛОВНО-ИСПОЛНИТЕЛЬНОЙ СИСТЕМЫ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""","ТОО ""ЦЕНТРСОФТ КАЗАХСТАН""",020240002046,110140004761
1976,01,19.01.2016 18:09,210000,Келісім шарт,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ТУРКЕСТАНСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО ЗДОРОВЬЯ ТУРКЕСТАНСКОЙ ОБЛАСТИ","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ALI-COM""",000240004495,121240013194
1978,7,21.01.2016 17:20,17500,Дезинсекция қызметтері 300 ш.м,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ДЛЯ РЕСОЦИАЛИЗАЦИИ ЛИЦ, ОКАЗАВШИХСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ ОТДЕЛА ЗАНЯТОСТИ И СОЦИАЛЬНЫХ ПРОГРАММ""","ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «НАЦИОНАЛЬНЫЙ ЦЕНТР ЭКСПЕРТИЗЫ» КОМИТЕТА КОНТРОЛЯ КАЧЕСТВА И БЕЗОПАСНОСТИ ТОВАРОВ И УСЛУГ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН ""ЦЕНТР ДЕЗИНФЕКЦИИ ПО ЗАПАДНО-",010140002843,150741017857
1979,3,21.01.2016 16:46,400000,Утилизация медицинских отходов,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""САЙРАМСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА""АКСУКЕНТ"" УПРАВЛЕНИЯ ЗДРАВОХРАНЕНИЯ ЮЖНО-КАЗАХСТАНСКОЙ ОБЛАСТИ","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМИМПЕКС І""",091040005069,061240009896
1981,13,20.01.2016 09:39,63571,Услуги телекоммуникационные,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ШКОЛА № 23"" АКИМАТА ГОРОДА НУР-СУЛТАН","АО ""КАЗАХТЕЛЕКОМ""",660740000010,941240000193
1982,7,20.01.2016 11:23,4551,"Щыбын тұқымдаған жерлерді тазарту
","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОБЛАСТНОЙ СПЕЦИАЛИЗИРОВАННЫЙ ДОМ РЕБЁНКА ""МЕЙІРІМ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ","ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «НАЦИОНАЛЬНЫЙ ЦЕНТР ЭКСПЕРТИЗЫ» КОМИТЕТА КОНТРОЛЯ КАЧЕСТВА И БЕЗОПАСНОСТИ ТОВАРОВ И УСЛУГ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН ""ЦЕНТР ДЕЗИНФЕКЦИИ ПО ЗАПАДНО-",100140009394,150741017857
1983,7,20.01.2016 11:22,57600,"Услуги по дезинсекции
","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОБЛАСТНОЙ СПЕЦИАЛИЗИРОВАННЫЙ ДОМ РЕБЁНКА ""МЕЙІРІМ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ","ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ «НАЦИОНАЛЬНЫЙ ЦЕНТР ЭКСПЕРТИЗЫ» КОМИТЕТА КОНТРОЛЯ КАЧЕСТВА И БЕЗОПАСНОСТИ ТОВАРОВ И УСЛУГ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН ""ЦЕНТР ДЕЗИНФЕКЦИИ ПО ЗАПАДНО-",100140009394,150741017857
1984,10,19.01.2016 23:34,211560,"Варенье алхорыдан
","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КЫЗЫЛОРДИНСКИЙ ОБЛАСТНОЙ ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЯ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ""",ИП АЛМАС,950340000502,890310302065
1985,1,22.01.2016 16:42,78214,Заң базасы,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЭКОНОМИКИ И БЮДЖЕТНОГО ПЛАНИРОВАНИЯ АКИМАТА ГОРОДА АРКАЛЫКА""","РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ИНСТИТУТ ЗАКОНОДАТЕЛЬСТВА И ПРАВОВОЙ ИНФОРМАЦИИ РЕСПУБЛИКИ КАЗАХСТАН"" МИНИСТЕРСТВА ЮСТИЦИИ РЕСПУБЛИКИ КАЗАХСТАН",060140006825,990540004034
1987,2,25.01.2016 18:01,16188,USB WIFI адаптер,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""АРКАЛЫКСКОЕ МЕЖРАЙОННОЕ ДОРОЖНО-ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ"" УПРАВЛЕНИЯ ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""TARAZ-AEGIS""",080640010756,110640017622
1988,5,20.01.2016 12:27,200892,"оказание услуг по информационно - технологическому сопровождению программного продукта ""1С:Предприятие""
","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ АКИМАТА ГОРОДА ЛИСАКОВСКА""",ИП ЮГАТОВ СЕРГЕЙ ЮРЬЕВИЧ,060140004323,750801302006
1990,3,21.01.2016 09:25,80400,күзет мониторинг көмегімен (дабыл нүктесі) ,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""РУДНЕНСКИЙ ИСТОРИКО-КРАЕВЕДЧЕСКИЙ МУЗЕЙ"" УПРАВЛЕНИЯ КУЛЬТУРЫ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУЗЕТ-МОНТАЖ-СЕРВИС""",101240007790,081040018059
1993,11,21.01.2016 17:35,592000,Бумага формата А4,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ЮСТИЦИИ ГОРОДА НУР-СУЛТАНА МИНИСТЕРСТВА ЮСТИЦИИ РЕСПУБЛИКИ КАЗАХСТАН""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛМАТЫ КЕНСЕ""",980740001045,041040002332
1994,10,19.01.2016 17:49,803571,"Работы по зимнему содержанию автомобильных дорог районного значения (очистка дорог от снега и открытие водопропускных труб) общей  протяженностью дорог  14,0  км ","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ БУХАР-ЖЫРАУСКОГО РАЙОНА КАРАГАНДИНСКОЙ ОБЛАСТИ""","ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАГАНДЫ ЖОЛДАРЫ"" ""ДОРОЖНО-ЭКСПЛУТАЦИОННЫЙ УЧАСТОК №1""",060140011663,961241000053
1995,14,25.01.2016 16:19,162000,Ремонт видеонаблюдения,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА ГОРОДА ЭКИБАСТУЗА ПАВЛОДАРСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NYTCOM""",970440002318,120840013540
1997,15,25.01.2016 16:18,176000,Услуги по обслуживанию мини АТС,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""АППАРАТ АКИМА ГОРОДА ЭКИБАСТУЗА ПАВЛОДАРСКОЙ ОБЛАСТИ""","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NYTCOM""",970440002318,120840013540
